"","unlist(as_list(l))"
"513","http://www.interia.pl/onas/?txt=prasa"
"514","http://www.interia.pl/onas/?txt=praca"
"515","http://www.interia.pl/onas/?txt=prawa"
"516","http://tv.interia.pl"
"517","http://www.interia.pl/onas/?txt=opinie"
"518","http://ad.interia.pl/go/?id=261&str=9&msc=1&podstr=main&go=http://hydepark.interia.pl/"
"519","http://pogoda.interia.pl"
"520","http://www.poczta.fm/kartkifm/"
"521","http://wiadomosci.interia.pl"
"522","http://biznes.interia.pl"
"523","http://motoryzacja.interia.pl"
"524","http://kobieta.interia.pl"
"525","http://komputery.interia.pl"
"526","http://gry.interia.pl"
"527","http://turystyka.interia.pl"
"528","http://rozrywka.interia.pl"
"529","http://katalog.interia.pl"
"530","/l/z"
"531","pomoc2.html"
"532","index.html"
"533","kategorie.html?kl=24"
"534","tresc.html?kl=24&kk=771"
"535","http://www.nuta.pl/"
"536","http://www.acton.alpha.pl/"
"537","http://www.albert.warka.pl/"
"538","http://priv1.onet.pl/poz/best_mp3/"
"539","http://members.xoom.com/YokaNet/Lipnicka/index.html"
"540","http://friko6.onet.pl/wa/nests/"
"541","http://www.atomic.com.pl/"
"542","http://www.backstreet.home.pl/"
"543","http://www.bsb.prv.pl/"
"544","http://www.bjork.digimer.pl/"
"545","url.html?kl=24&kp=1299&kk=1299&nr_paczki=2&nr_strony=0"
"546","url.html?kl=24&kp=1299&kk=1299&nr_paczki=3&nr_strony=0"
"547","url.html?kl=24&kp=1299&kk=1299&nr_paczki=4&nr_strony=0"
"548","url.html?kl=24&kp=1299&kk=1299&nr_paczki=5&nr_strony=0"
"549","url.html?kl=24&kp=1299&kk=1299&nr_paczki=6&nr_strony=0"
"550","url.html?kl=24&kp=1299&kk=1299&nr_paczki=7&nr_strony=0"
"551","url.html?kl=24&kp=1299&kk=1299&nr_paczki=8&nr_strony=0"
"552","url.html?kl=24&kp=1299&kk=1299&nr_paczki=9&nr_strony=0"
"553","url.html?kl=24&kp=1299&kk=1299&nr_paczki=10&nr_strony=0"
"554","http://biznes.interia.pl/main/info.html?nid=6345"
"555","http://biznes.interia.pl/main/info.html?nid=6331"
"556","http://motoryzacja.interia.pl/id/targi/bangkok"
"557","http://motoryzacja.interia.pl/id/motorelacje/coza/verso"
"558","http://kobieta.interia.pl/id/chwila/chinski"
"559","http://kobieta.interia.pl/id/dom/mieszkanie"
"560","http://gry.interia.pl/id/recenzje&tx=42&co_szukac="
"561","http://gry.interia.pl/id/opisy&tx=2&co_szukac="
"562","http://turystyka.interia.pl/id/powietrze/balony/wiadomosci/www/powietrze/balony/wiadomosci"
"563","http://turystyka.interia.pl/id/prawo/polska/odys/www/prawo/polska/odys"
"564","http://rozrywka.interia.pl/id/wywiady/www/wywiady/wywiad&idw=69"
"565","http://rozrywka.interia.pl/id/crans/index"
"566","http://komputery.interia.pl/id/gt/www/gt1"
"567","http://komputery.interia.pl/id/pr/wi/www/wart&artid=14318"
"568","http://pogoda.interia.pl"
"569","http://rozrywka.interia.pl/id/muzyka/aktualnosci/www/muzyka/muzyka&S=smuzyka"
"570","http://rozrywka.interia.pl/id/film/wydarzenia/www/film/film&S=sfilm"
"571","http://wiadomosci.interia.pl/id/sport/wiadomosci"
"572","http://rozrywka.interia.pl/id/biorytm/www/biorytm/biorytm"
"573","http://rozrywka.interia.pl/id/horoskop/www/horoskop/horoskop_main"
"574","http://www.poczta.fm/kartkifm/"
"575","http://turystyka.interia.pl/id/bazy/bot1"
"576","http://komputery.interia.pl/id/tel/tel_akt/www/akt1"
"577","http://motoryzacja.interia.pl/id/motoporadnik"
"578","http://biznes.interia.pl/pieniadz/waluty/kantory.html"
"579","http://www.interia.pl/wap/"
"580","http://tv.interia.pl"
"581","http://www.interia.pl/onas/?txt=info"
"582","http://www.interia.pl/onas/?txt=kontakt"
"583","http://www.interia.pl/onas/?txt=reklama"
"584","http://www.interia.pl/onas/?txt=prasa"
"585","http://www.interia.pl/onas/?txt=praca"
"586","http://www.interia.pl/onas/?txt=prawa"
"587","http://tv.interia.pl"
"588","http://www.interia.pl/onas/?txt=opinie"
"589","http://ad.interia.pl/go/?id=332&str=9&msc=1&podstr=main&go=http://www.royalpbk.com"
"590","http://pogoda.interia.pl"
"591","http://www.poczta.fm/kartkifm/"
"592","http://wiadomosci.interia.pl"
"593","http://biznes.interia.pl"
"594","http://motoryzacja.interia.pl"
"595","http://kobieta.interia.pl"
"596","http://komputery.interia.pl"
"597","http://gry.interia.pl"
"598","http://turystyka.interia.pl"
"599","http://rozrywka.interia.pl"
"600","http://katalog.interia.pl"
"601","/l/z"
"602","pomoc2.html"
"603","index.html"
"604","kategorie.html?kl=24"
"605","tresc.html?kl=24&kk=771"
"606","http://www.13lo.infocentrum.com/13P/pj.html"
"607","http://www.13lo.infocentrum.com/13P/pj-ten.html"
"608","http://www.13lo.infocentrum.com/13P/queen-txt.html"
"609","http://priv2.onet.pl/rze/shambo//"
"610","http://friko2.onet.pl/war/acid_mania/"
"611","http://www.free.com.pl/agnihot/"
"612","http://friko5.onet.pl/bb/akurat/"
"613","http://www.albert.warka.pl/"
"614","http://www.alosza.pl/"
"615","http://members.xoom.com/YokaNet/Lipnicka/index.html"
"616","url.html?kl=24&kp=1307&kk=1307&nr_paczki=2&nr_strony=0"
"617","url.html?kl=24&kp=1307&kk=1307&nr_paczki=3&nr_strony=0"
"618","url.html?kl=24&kp=1307&kk=1307&nr_paczki=4&nr_strony=0"
"619","url.html?kl=24&kp=1307&kk=1307&nr_paczki=5&nr_strony=0"
"620","url.html?kl=24&kp=1307&kk=1307&nr_paczki=6&nr_strony=0"
"621","url.html?kl=24&kp=1307&kk=1307&nr_paczki=7&nr_strony=0"
"622","url.html?kl=24&kp=1307&kk=1307&nr_paczki=8&nr_strony=0"
"623","url.html?kl=24&kp=1307&kk=1307&nr_paczki=9&nr_strony=0"
"624","url.html?kl=24&kp=1307&kk=1307&nr_paczki=10&nr_strony=0"
"625","url.html?kl=24&kp=1307&kk=1307&nr_paczki=11&nr_strony=0"
"626","url.html?kl=24&kp=1307&kk=1307&nr_paczki=12&nr_strony=0"
"627","url.html?kl=24&kp=1307&kk=1307&nr_paczki=13&nr_strony=0"
"628","url.html?kl=24&kp=1307&kk=1307&nr_paczki=14&nr_strony=0"
"629","url.html?kl=24&kp=1307&kk=1307&nr_paczki=15&nr_strony=0"
"630","url.html?kl=24&kp=1307&kk=1307&nr_paczki=16&nr_strony=0"
"631","url.html?kl=24&kp=1307&kk=1307&nr_paczki=17&nr_strony=0"
"632","url.html?kl=24&kp=1307&kk=1307&nr_paczki=18&nr_strony=0"
"633","url.html?kl=24&kp=1307&kk=1307&nr_paczki=19&nr_strony=0"
"634","url.html?kl=24&kp=1307&kk=1307&nr_paczki=20&nr_strony=0"
"635","url.html?kl=24&kp=1307&kk=1307&nr_paczki=21&nr_strony=1"
"636","http://biznes.interia.pl/main/info.html?nid=6345"
"637","http://biznes.interia.pl/main/info.html?nid=6331"
"638","http://motoryzacja.interia.pl/id/targi/bangkok"
"639","http://motoryzacja.interia.pl/id/motorelacje/coza/verso"
"640","http://kobieta.interia.pl/id/chwila/chinski"
"641","http://kobieta.interia.pl/id/dom/mieszkanie"
"642","http://gry.interia.pl/id/recenzje&tx=42&co_szukac="
"643","http://gry.interia.pl/id/opisy&tx=2&co_szukac="
"644","http://turystyka.interia.pl/id/powietrze/balony/wiadomosci/www/powietrze/balony/wiadomosci"
"645","http://turystyka.interia.pl/id/prawo/polska/odys/www/prawo/polska/odys"
"646","http://rozrywka.interia.pl/id/wywiady/www/wywiady/wywiad&idw=69"
"647","http://rozrywka.interia.pl/id/crans/index"
"648","http://komputery.interia.pl/id/gt/www/gt1"
"649","http://komputery.interia.pl/id/pr/wi/www/wart&artid=14318"
"650","http://pogoda.interia.pl"
"651","http://rozrywka.interia.pl/id/muzyka/aktualnosci/www/muzyka/muzyka&S=smuzyka"
"652","http://rozrywka.interia.pl/id/film/wydarzenia/www/film/film&S=sfilm"
"653","http://wiadomosci.interia.pl/id/sport/wiadomosci"
"654","http://rozrywka.interia.pl/id/biorytm/www/biorytm/biorytm"
"655","http://rozrywka.interia.pl/id/horoskop/www/horoskop/horoskop_main"
"656","http://www.poczta.fm/kartkifm/"
"657","http://turystyka.interia.pl/id/bazy/bot1"
"658","http://komputery.interia.pl/id/tel/tel_akt/www/akt1"
"659","http://motoryzacja.interia.pl/id/motoporadnik"
"660","http://biznes.interia.pl/pieniadz/waluty/kantory.html"
"661","http://www.interia.pl/wap/"
"662","http://tv.interia.pl"
"663","http://www.interia.pl/onas/?txt=info"
"664","http://www.interia.pl/onas/?txt=kontakt"
"665","http://www.interia.pl/onas/?txt=reklama"
"666","http://www.interia.pl/onas/?txt=prasa"
"667","http://www.interia.pl/onas/?txt=praca"
"668","http://www.interia.pl/onas/?txt=prawa"
"669","http://tv.interia.pl"
"670","http://www.interia.pl/onas/?txt=opinie"
"671","http://ad.interia.pl/go/?id=122&str=9&msc=1&podstr=main&go=http://motoryzacja.interia.pl/id/g_gielda"
"672","http://pogoda.interia.pl"
"673","http://www.poczta.fm/kartkifm/"
"674","http://wiadomosci.interia.pl"
"675","http://biznes.interia.pl"
"676","http://motoryzacja.interia.pl"
"677","http://kobieta.interia.pl"
"678","http://komputery.interia.pl"
"679","http://gry.interia.pl"
"680","http://turystyka.interia.pl"
"681","http://rozrywka.interia.pl"
"682","http://katalog.interia.pl"
"683","/l/z"
"684","pomoc2.html"
"685","index.html"
"686","kategorie.html?kl=27"
"687","tresc.html?kl=27&kk=785"
"688","http://priv6.onet.pl/kra/pan_mateusz/"
"689","http://multisys.silesianet.pl/"
"690","http://www.13lo.infocentrum.com/13P/"
"691","http://www.3dmark.artcom.pl/"
"692","http://priv6.onet.pl/ka/tough/"
"693","http://www.achates.prv.pl/"
"694","http://www.geocities.com/aajgor/"
"695","http://www.gv.edu.pl/~morr/akm/"
"696","http://priv6.onet.pl/rze/sirleo/amiga.html"
"697","http://kret.slo.zary.pl/~krzys/"
"698","url.html?kl=27&kp=1371&kk=1371&nr_paczki=2&nr_strony=0"
"699","url.html?kl=27&kp=1371&kk=1371&nr_paczki=3&nr_strony=0"
"700","url.html?kl=27&kp=1371&kk=1371&nr_paczki=4&nr_strony=0"
"701","url.html?kl=27&kp=1371&kk=1371&nr_paczki=5&nr_strony=0"
"702","url.html?kl=27&kp=1371&kk=1371&nr_paczki=6&nr_strony=0"
"703","url.html?kl=27&kp=1371&kk=1371&nr_paczki=7&nr_strony=0"
"704","url.html?kl=27&kp=1371&kk=1371&nr_paczki=8&nr_strony=0"
"705","url.html?kl=27&kp=1371&kk=1371&nr_paczki=9&nr_strony=0"
"706","url.html?kl=27&kp=1371&kk=1371&nr_paczki=10&nr_strony=0"
"707","url.html?kl=27&kp=1371&kk=1371&nr_paczki=11&nr_strony=0"
"708","url.html?kl=27&kp=1371&kk=1371&nr_paczki=12&nr_strony=0"
"709","url.html?kl=27&kp=1371&kk=1371&nr_paczki=13&nr_strony=0"
"710","url.html?kl=27&kp=1371&kk=1371&nr_paczki=14&nr_strony=0"
"711","url.html?kl=27&kp=1371&kk=1371&nr_paczki=15&nr_strony=0"
"712","url.html?kl=27&kp=1371&kk=1371&nr_paczki=16&nr_strony=0"
"713","url.html?kl=27&kp=1371&kk=1371&nr_paczki=17&nr_strony=0"
"714","url.html?kl=27&kp=1371&kk=1371&nr_paczki=18&nr_strony=0"
"715","url.html?kl=27&kp=1371&kk=1371&nr_paczki=19&nr_strony=0"
"716","http://biznes.interia.pl/main/info.html?nid=6345"
"717","http://biznes.interia.pl/main/info.html?nid=6331"
"718","http://motoryzacja.interia.pl/id/targi/bangkok"
"719","http://motoryzacja.interia.pl/id/motorelacje/coza/verso"
"720","http://kobieta.interia.pl/id/chwila/chinski"
"721","http://kobieta.interia.pl/id/dom/mieszkanie"
"722","http://gry.interia.pl/id/recenzje&tx=42&co_szukac="
"723","http://gry.interia.pl/id/opisy&tx=2&co_szukac="
"724","http://turystyka.interia.pl/id/powietrze/balony/wiadomosci/www/powietrze/balony/wiadomosci"
"725","http://turystyka.interia.pl/id/prawo/polska/odys/www/prawo/polska/odys"
"726","http://rozrywka.interia.pl/id/wywiady/www/wywiady/wywiad&idw=69"
"727","http://rozrywka.interia.pl/id/crans/index"
"728","http://komputery.interia.pl/id/gt/www/gt1"
"729","http://komputery.interia.pl/id/pr/wi/www/wart&artid=14318"
"730","http://pogoda.interia.pl"
"731","http://rozrywka.interia.pl/id/muzyka/aktualnosci/www/muzyka/muzyka&S=smuzyka"
"732","http://rozrywka.interia.pl/id/film/wydarzenia/www/film/film&S=sfilm"
"733","http://wiadomosci.interia.pl/id/sport/wiadomosci"
"734","http://rozrywka.interia.pl/id/biorytm/www/biorytm/biorytm"
"735","http://rozrywka.interia.pl/id/horoskop/www/horoskop/horoskop_main"
"736","http://www.poczta.fm/kartkifm/"
"737","http://turystyka.interia.pl/id/bazy/bot1"
"738","http://komputery.interia.pl/id/tel/tel_akt/www/akt1"
"739","http://motoryzacja.interia.pl/id/motoporadnik"
"740","http://biznes.interia.pl/pieniadz/waluty/kantory.html"
"741","http://www.interia.pl/wap/"
"742","http://tv.interia.pl"
"743","http://www.interia.pl/onas/?txt=info"
"744","http://www.interia.pl/onas/?txt=kontakt"
"745","http://www.interia.pl/onas/?txt=reklama"
"746","http://www.interia.pl/onas/?txt=prasa"
"747","http://www.interia.pl/onas/?txt=praca"
"748","http://www.interia.pl/onas/?txt=prawa"
"749","http://tv.interia.pl"
"750","http://www.interia.pl/onas/?txt=opinie"
"751","http://ad.interia.pl/go/?id=332&str=9&msc=1&podstr=main&go=http://www.royalpbk.com"
"752","http://pogoda.interia.pl"
"753","http://www.poczta.fm/kartkifm/"
"754","http://wiadomosci.interia.pl"
"755","http://biznes.interia.pl"
"756","http://motoryzacja.interia.pl"
"757","http://kobieta.interia.pl"
"758","http://komputery.interia.pl"
"759","http://gry.interia.pl"
"760","http://turystyka.interia.pl"
"761","http://rozrywka.interia.pl"
"762","http://katalog.interia.pl"
"763","/l/z"
"764","pomoc2.html"
"765","index.html"
"766","kategorie.html?kl=23"
"767","tresc.html?kl=23&kk=763"
"768","http://www.artpos.z.pl/"
"769","http://www.wczasy.com/_baza/017.htm"
"770","http://www.agroturystyka.org/"
"771","http://www.agroturystyka.com.pl/"
"772","http://www.karpacz.com.pl/alberto/"
"773","http://www.republika.pl/arkadia_a/"
"774","http://www.austria.com.pl/"
"775","http://www.autostop.digimer.pl/"
"776","http://www.uslhot.polbox.com/"
"777","http://www.wczasy.com/"
"778","url.html?kl=23&kp=1407&kk=1407&nr_paczki=2&nr_strony=0"
"779","url.html?kl=23&kp=1407&kk=1407&nr_paczki=3&nr_strony=0"
"780","url.html?kl=23&kp=1407&kk=1407&nr_paczki=4&nr_strony=0"
"781","url.html?kl=23&kp=1407&kk=1407&nr_paczki=5&nr_strony=0"
"782","url.html?kl=23&kp=1407&kk=1407&nr_paczki=6&nr_strony=0"
"783","url.html?kl=23&kp=1407&kk=1407&nr_paczki=7&nr_strony=0"
"784","url.html?kl=23&kp=1407&kk=1407&nr_paczki=8&nr_strony=0"
"785","http://biznes.interia.pl/main/info.html?nid=6345"
"786","http://biznes.interia.pl/main/info.html?nid=6331"
"787","http://motoryzacja.interia.pl/id/targi/bangkok"
"788","http://motoryzacja.interia.pl/id/motorelacje/coza/verso"
"789","http://kobieta.interia.pl/id/chwila/chinski"
"790","http://kobieta.interia.pl/id/dom/mieszkanie"
"791","http://gry.interia.pl/id/recenzje&tx=42&co_szukac="
"792","http://gry.interia.pl/id/opisy&tx=2&co_szukac="
"793","http://turystyka.interia.pl/id/powietrze/balony/wiadomosci/www/powietrze/balony/wiadomosci"
"794","http://turystyka.interia.pl/id/prawo/polska/odys/www/prawo/polska/odys"
"795","http://rozrywka.interia.pl/id/wywiady/www/wywiady/wywiad&idw=69"
"796","http://rozrywka.interia.pl/id/crans/index"
"797","http://komputery.interia.pl/id/gt/www/gt1"
"798","http://komputery.interia.pl/id/pr/wi/www/wart&artid=14318"
"799","http://pogoda.interia.pl"
"800","http://rozrywka.interia.pl/id/muzyka/aktualnosci/www/muzyka/muzyka&S=smuzyka"
"801","http://rozrywka.interia.pl/id/film/wydarzenia/www/film/film&S=sfilm"
"802","http://wiadomosci.interia.pl/id/sport/wiadomosci"
"803","http://rozrywka.interia.pl/id/biorytm/www/biorytm/biorytm"
"804","http://rozrywka.interia.pl/id/horoskop/www/horoskop/horoskop_main"
"805","http://www.poczta.fm/kartkifm/"
"806","http://turystyka.interia.pl/id/bazy/bot1"
"807","http://komputery.interia.pl/id/tel/tel_akt/www/akt1"
"808","http://motoryzacja.interia.pl/id/motoporadnik"
"809","http://biznes.interia.pl/pieniadz/waluty/kantory.html"
"810","http://www.interia.pl/wap/"
"811","http://tv.interia.pl"
"812","http://www.interia.pl/onas/?txt=info"
"813","http://www.interia.pl/onas/?txt=kontakt"
"814","http://www.interia.pl/onas/?txt=reklama"
"815","http://www.interia.pl/onas/?txt=prasa"
"816","http://www.interia.pl/onas/?txt=praca"
"817","http://www.interia.pl/onas/?txt=prawa"
"818","http://tv.interia.pl"
"819","http://www.interia.pl/onas/?txt=opinie"
"820","http://ad.interia.pl/go/?id=288&str=9&msc=1&podstr=main&go=http://www.interia.pl/piknik2000/"
"821","http://pogoda.interia.pl"
"822","http://www.poczta.fm/kartkifm/"
"823","http://wiadomosci.interia.pl"
"824","http://biznes.interia.pl"
"825","http://motoryzacja.interia.pl"
"826","http://kobieta.interia.pl"
"827","http://komputery.interia.pl"
"828","http://gry.interia.pl"
"829","http://turystyka.interia.pl"
"830","http://rozrywka.interia.pl"
"831","http://katalog.interia.pl"
"832","/l/z"
"833","pomoc2.html"
"834","index.html"
"835","kategorie.html?kl=24"
"836","http://rozrywka.interia.pl/"
"837","http://priv6.onet.pl/kra/pan_mateusz/"
"838","http://www.promail.pl/~joker007/"
"839","http://humorek.cjb.net/"
"840","http://www.lo3.zabrze.pl/~michalp/"
"841","http://www.alejaja.prv.pl/"
"842","http://www.alosza.pl/"
"843","http://www.humorek.of.pl/"
"844","http://strony2.wp.pl/wp/tommy_r/"
"845","http://bg.wp.pl/"
"846","url.html?kl=24&kp=770&kk=770&nr_paczki=2&nr_strony=0"
"847","url.html?kl=24&kp=770&kk=770&nr_paczki=3&nr_strony=0"
"848","url.html?kl=24&kp=770&kk=770&nr_paczki=4&nr_strony=0"
"849","url.html?kl=24&kp=770&kk=770&nr_paczki=5&nr_strony=0"
"850","url.html?kl=24&kp=770&kk=770&nr_paczki=6&nr_strony=0"
"851","url.html?kl=24&kp=770&kk=770&nr_paczki=7&nr_strony=0"
"852","url.html?kl=24&kp=770&kk=770&nr_paczki=8&nr_strony=0"
"853","url.html?kl=24&kp=770&kk=770&nr_paczki=9&nr_strony=0"
"854","url.html?kl=24&kp=770&kk=770&nr_paczki=10&nr_strony=0"
"855","url.html?kl=24&kp=770&kk=770&nr_paczki=11&nr_strony=0"
"856","url.html?kl=24&kp=770&kk=770&nr_paczki=12&nr_strony=0"
"857","http://biznes.interia.pl/main/info.html?nid=6335"
"858","http://biznes.interia.pl/main/info.html?nid=6331"
"859","http://motoryzacja.interia.pl/id/targi/bangkok"
"860","http://motoryzacja.interia.pl/id/motorelacje/coza/verso"
"861","http://kobieta.interia.pl/id/chwila/chinski"
"862","http://kobieta.interia.pl/id/dom/mieszkanie"
"863","http://gry.interia.pl/id/recenzje&tx=42&co_szukac="
"864","http://gry.interia.pl/id/opisy&tx=2&co_szukac="
"865","http://turystyka.interia.pl/id/powietrze/balony/wiadomosci/www/powietrze/balony/wiadomosci"
"866","http://turystyka.interia.pl/id/prawo/polska/odys/www/prawo/polska/odys"
"867","http://rozrywka.interia.pl/id/wywiady/www/wywiady/wywiad&idw=69"
"868","http://rozrywka.interia.pl/id/crans/index"
"869","http://komputery.interia.pl/id/gt/www/gt1"
"870","http://komputery.interia.pl/id/pr/wi/www/wart&artid=14318"
"871","http://pogoda.interia.pl"
"872","http://rozrywka.interia.pl/id/muzyka/aktualnosci/www/muzyka/muzyka&S=smuzyka"
"873","http://rozrywka.interia.pl/id/film/wydarzenia/www/film/film&S=sfilm"
"874","http://wiadomosci.interia.pl/id/sport/wiadomosci"
"875","http://rozrywka.interia.pl/id/biorytm/www/biorytm/biorytm"
"876","http://rozrywka.interia.pl/id/horoskop/www/horoskop/horoskop_main"
"877","http://www.poczta.fm/kartkifm/"
"878","http://turystyka.interia.pl/id/bazy/bot1"
"879","http://komputery.interia.pl/id/tel/tel_akt/www/akt1"
"880","http://motoryzacja.interia.pl/id/motoporadnik"
"881","http://biznes.interia.pl/pieniadz/waluty/kantory.html"
"882","http://www.interia.pl/wap/"
"883","http://tv.interia.pl"
"884","http://www.interia.pl/onas/?txt=info"
"885","http://www.interia.pl/onas/?txt=kontakt"
"886","http://www.interia.pl/onas/?txt=reklama"
"887","http://www.interia.pl/onas/?txt=prasa"
"888","http://www.interia.pl/onas/?txt=praca"
"889","http://www.interia.pl/onas/?txt=prawa"
"890","http://tv.interia.pl"
"891","http://www.interia.pl/onas/?txt=opinie"
"892","http://ad.interia.pl/go/?id=261&str=9&msc=1&podstr=main&go=http://hydepark.interia.pl/"
"893","http://pogoda.interia.pl"
"894","http://www.poczta.fm/kartkifm/"
"895","http://wiadomosci.interia.pl"
"896","http://biznes.interia.pl"
"897","http://motoryzacja.interia.pl"
"898","http://kobieta.interia.pl"
"899","http://komputery.interia.pl"
"900","http://gry.interia.pl"
"901","http://turystyka.interia.pl"
"902","http://rozrywka.interia.pl"
"903","http://katalog.interia.pl"
"904","/l/z"
"905","pomoc2.html"
"906","index.html"
"907","kategorie.html?kl=28"
"908","tresc.html?kl=28&kk=788"
"909","http://www.agros-lowicz.com.pl/"
"910","http://www.apia.com.pl/"
"911","http://www.apipol.com.pl/"
"912","http://www.aquadrop.com.pl/"
"913","http://www.aquafilter.com.pl/"
"914","http://www.aqvasystem.com.pl/"
"915","http://www.arras.com.pl/"
"916","http://www.atleta.icon.pl/"
"917","http://friko2.onet.pl/gd/seva/"
"918","http://body.koti.com.pl/"
"919","url.html?kl=28&kp=1427&kk=1427&nr_paczki=2&nr_strony=0"
"920","url.html?kl=28&kp=1427&kk=1427&nr_paczki=3&nr_strony=0"
"921","url.html?kl=28&kp=1427&kk=1427&nr_paczki=4&nr_strony=0"
"922","http://biznes.interia.pl/main/info.html?nid=6335"
"923","http://biznes.interia.pl/main/info.html?nid=6331"
"924","http://motoryzacja.interia.pl/id/targi/bangkok"
"925","http://motoryzacja.interia.pl/id/motorelacje/coza/verso"
"926","http://kobieta.interia.pl/id/chwila/chinski"
"927","http://kobieta.interia.pl/id/dom/mieszkanie"
"928","http://gry.interia.pl/id/recenzje&tx=42&co_szukac="
"929","http://gry.interia.pl/id/opisy&tx=2&co_szukac="
"930","http://turystyka.interia.pl/id/powietrze/balony/wiadomosci/www/powietrze/balony/wiadomosci"
"931","http://turystyka.interia.pl/id/prawo/polska/odys/www/prawo/polska/odys"
"932","http://rozrywka.interia.pl/id/wywiady/www/wywiady/wywiad&idw=69"
"933","http://rozrywka.interia.pl/id/crans/index"
"934","http://komputery.interia.pl/id/gt/www/gt1"
"935","http://komputery.interia.pl/id/pr/wi/www/wart&artid=14318"
"936","http://pogoda.interia.pl"
"937","http://rozrywka.interia.pl/id/muzyka/aktualnosci/www/muzyka/muzyka&S=smuzyka"
"938","http://rozrywka.interia.pl/id/film/wydarzenia/www/film/film&S=sfilm"
"939","http://wiadomosci.interia.pl/id/sport/wiadomosci"
"940","http://rozrywka.interia.pl/id/biorytm/www/biorytm/biorytm"
"941","http://rozrywka.interia.pl/id/horoskop/www/horoskop/horoskop_main"
"942","http://www.poczta.fm/kartkifm/"
"943","http://turystyka.interia.pl/id/bazy/bot1"
"944","http://komputery.interia.pl/id/tel/tel_akt/www/akt1"
"945","http://motoryzacja.interia.pl/id/motoporadnik"
"946","http://biznes.interia.pl/pieniadz/waluty/kantory.html"
"947","http://www.interia.pl/wap/"
"948","http://tv.interia.pl"
"949","http://www.interia.pl/onas/?txt=info"
"950","http://www.interia.pl/onas/?txt=kontakt"
"951","http://www.interia.pl/onas/?txt=reklama"
"952","http://www.interia.pl/onas/?txt=prasa"
"953","http://www.interia.pl/onas/?txt=praca"
"954","http://www.interia.pl/onas/?txt=prawa"
"955","http://tv.interia.pl"
"956","http://www.interia.pl/onas/?txt=opinie"
"957","http://ad.interia.pl/go/?id=332&str=9&msc=1&podstr=main&go=http://www.royalpbk.com"
"958","http://pogoda.interia.pl"
"959","http://www.poczta.fm/kartkifm/"
"960","http://wiadomosci.interia.pl"
"961","http://biznes.interia.pl"
"962","http://motoryzacja.interia.pl"
"963","http://kobieta.interia.pl"
"964","http://komputery.interia.pl"
"965","http://gry.interia.pl"
"966","http://turystyka.interia.pl"
"967","http://rozrywka.interia.pl"
"968","http://katalog.interia.pl"
"969","/l/z"
"970","pomoc2.html"
"971","index.html"
"972","kategorie.html?kl=22"
"973","http://www.jarecki.ikki.com.pl/index.html"
"974","http://www.agp.pl/"
"975","http://www.awf.wroc.pl/"
"976","http://www.polska.lex.pl/prasa/Albo-Olsztynek/"
"977","http://www.usaemb.pl/"
"978","http://www.free.polbox.pl/b/bsostrow/"
"979","http://www.barlinek.pl/"
"980","http://felieton.com.pl/"
"981","http://www.ariadna.pl/bml/"
"982","http://www.info.poznan.pl/BezpiecznyPoznan/bmiasto.html"
"983","url.html?kl=22&kp=757&kk=757&nr_paczki=2&nr_strony=0"
"984","url.html?kl=22&kp=757&kk=757&nr_paczki=3&nr_strony=0"
"985","url.html?kl=22&kp=757&kk=757&nr_paczki=4&nr_strony=0"
"986","url.html?kl=22&kp=757&kk=757&nr_paczki=5&nr_strony=0"
"987","url.html?kl=22&kp=757&kk=757&nr_paczki=6&nr_strony=0"
"988","url.html?kl=22&kp=757&kk=757&nr_paczki=7&nr_strony=0"
"989","url.html?kl=22&kp=757&kk=757&nr_paczki=8&nr_strony=0"
"990","url.html?kl=22&kp=757&kk=757&nr_paczki=9&nr_strony=0"
"991","url.html?kl=22&kp=757&kk=757&nr_paczki=10&nr_strony=0"
"992","url.html?kl=22&kp=757&kk=757&nr_paczki=11&nr_strony=0"
"993","url.html?kl=22&kp=757&kk=757&nr_paczki=12&nr_strony=0"
"994","url.html?kl=22&kp=757&kk=757&nr_paczki=13&nr_strony=0"
"995","url.html?kl=22&kp=757&kk=757&nr_paczki=14&nr_strony=0"
"996","url.html?kl=22&kp=757&kk=757&nr_paczki=15&nr_strony=0"
"997","url.html?kl=22&kp=757&kk=757&nr_paczki=16&nr_strony=0"
"998","url.html?kl=22&kp=757&kk=757&nr_paczki=17&nr_strony=0"
"999","url.html?kl=22&kp=757&kk=757&nr_paczki=18&nr_strony=0"
"1000","url.html?kl=22&kp=757&kk=757&nr_paczki=19&nr_strony=0"
"1001","url.html?kl=22&kp=757&kk=757&nr_paczki=20&nr_strony=0"
"1002","url.html?kl=22&kp=757&kk=757&nr_paczki=21&nr_strony=1"
"1003","http://biznes.interia.pl/main/info.html?nid=6345"
"1004","http://biznes.interia.pl/main/info.html?nid=6331"
"1005","http://motoryzacja.interia.pl/id/targi/bangkok"
"1006","http://motoryzacja.interia.pl/id/motorelacje/coza/verso"
"1007","http://kobieta.interia.pl/id/chwila/chinski"
"1008","http://kobieta.interia.pl/id/dom/mieszkanie"
"1009","http://gry.interia.pl/id/recenzje&tx=42&co_szukac="
"1010","http://gry.interia.pl/id/opisy&tx=2&co_szukac="
"1011","http://turystyka.interia.pl/id/powietrze/balony/wiadomosci/www/powietrze/balony/wiadomosci"
